s6,6_Loc,6_Length,6_end
1,483,6314,6797
2,6797,10473,17270
3,17270,12817,30087
4,30490,1039,31529
5,32043,9353,41396
6,41396,4144,45540
7,45540,3242,48782
8,48782,2181,50963
R570,50169,810,50979
D9,51725,2091,53816
14,55243,274,55517
15,55517,24249,79766
16,79766,1060,80826
17,81743,2966,84709
18,85426,26005,111431
19,111431,2627,114058
20,114058,4965,119023
21,119023,21055,140078
22,140078,5590,145668
23,145668,46219,191887
24,191887,34288,226175
25,226175,2806,228981
26,228981,52071,281052
D28,282261,7768,290029
D29,290029,1080,291109
30,291598,3966,295564
31,295564,1217,296781
32,296781,7697,304478
33,304478,1242,305720
34,305720,8215,313935
35,313935,1000,314935
36,314935,1386,316321
37,316321,9657,325978
38,325978,25087,351065
39,351069,8103,359172
40,361205,7689,368894
41,368894,3245,372139
42,372139,2280,374419
43,374419,21802,396221
44,396568,19169,415737
45,415737,31913,447650
46,447650,7419,455069
47,455069,38303,493372
48,493372,34309,527681
49,528251,14253,542504
50,542504,24212,566716
51,566716,9280,575996
52,575996,1839,577835
53,577835,14730,592565
54,593534,14210,607744
55,608515,12617,621132
56,621467,45367,666834
59,666834,6866,673700
D550,673700,2944,676644
D549,676754,309,677063
D887,677120,72,677192
D548,678594,1579,680173
D778,678906,187,679093
60,680184,18699,698883
D61,699096,1146,700242
D62,700690,1341,702031
D63,703381,1046,704427
64,705472,17452,722924
65,722924,7762,730686
66,731017,6507,737524
67,737524,1002,738526
68,738526,7786,746312
IN,746446,1287,747733
IN,747725,1563,749288
69,762526,9844,772370
70,772370,5373,777743
71,777743,8567,786310
72,786310,1223,787533
73,787533,1864,789397
D74,789397,3391,792788
75,792788,10791,803579
76,803579,2503,806082
77,806083,1056,807139
78,807140,1655,808795
79,808795,4360,813155
80,813155,2277,815432
81,816104,8807,824911
D82,824911,2126,827037
D83,827037,2578,829615
D84,829615,4735,834350
D85,836148,2259,838407
D86,838407,8235,846642
D87,846642,4393,851035
D88,851035,7948,858983
D89,858983,21097,880080
D90,880130,1245,881375
D91,881376,16859,898235
92,898235,15244,913479
93,913479,7246,920725
D735,920725,4104,924829
95,925798,14451,940249
96,940996,3679,944675
97,945177,2557,947734
D98,947734,1604,949338
99,949338,15680,965018
100,965018,20170,985188
101,985188,13205,998393
102,998393,1585,999978
103,999978,9036,1009014
104,1009014,1678,1010692
105,1011322,14442,1025764
106,1025766,1144,1026910
107,1026911,7020,1033931
108,1034242,17881,1052123
109,1052123,2388,1054511
110,1054511,10977,1065488
111,1065488,382,1065870
112,1065870,2073,1067943
113,1067943,61,1068004
114,1068004,7266,1075270
115,1075850,1351,1077201
116,1077201,45836,1123037
117,1123037,3310,1126347
118,1126347,4164,1130511
119,1130511,26686,1157197
120,1157197,17013,1174210
122,1174380,8462,1182842
123,1182842,2208,1185050
124,1185535,10943,1196478
125,1196478,7971,1204449
126,1204449,13034,1217483
127,1217483,1537,1219020
R846,1219267,94,1219361
128,1219342,58304,1277646
129,1277758,25896,1303654
130,1303654,21535,1325189
136,1325189,10252,1335441
137,1335441,1716,1337157
138,1337157,9749,1346906
139,1346906,5007,1351913
140,1351915,1674,1353589
141,1353591,22795,1376386
142,1376386,1142,1377528
143,1377528,2638,1380166
144,1380167,8489,1388656
145,1388656,3078,1391734
146,1391734,12477,1404211
147,1404211,19200,1423411
148,1423412,1063,1424475
149,1424475,9455,1433930
150,1435259,5065,1440324
151,1440324,13027,1453351
IN,1453464,975,1454439
D401,1454657,591,1455248
D948,1456645,1558,1458203
D947,1458218,732,1458950
D877,1458950,803,1459753
D788,1459753,4550,1464303
D396,1464678,252,1464930
D559,1466812,1760,1468572
D934,1468577,1191,1469768
D915,1472066,1264,1473330
D807,1473350,87,1473437
D905,1474261,89,1474350
D754,1474858,12920,1487778
D926,1490043,1052,1491095
D826,1491722,2006,1493728
152,1496047,34899,1530946
153,1530946,10212,1541158
D941,1542060,1034,1543094
154,1543094,5030,1548124
155,1548124,11787,1559911
156,1559911,49816,1609727
157,1609728,3162,1612890
158,1612891,2068,1614959
159,1615154,6550,1621704
160,1621704,27522,1649226
161,1649313,1342,1650655
162,1650657,3835,1654492
163,1654492,30339,1684831
164,1684831,8065,1692896
165,1692896,15150,1708046
166,1709033,38870,1747903
D170,1749513,211,1749724
171,1749724,2456,1752180
172,1752180,1158,1753338
173,1754539,14001,1768540
174,1768540,1716,1770256
175,1770256,3725,1773981
176,1773981,58725,1832706
177,1832706,11616,1844322
178,1844322,35526,1879848
179,1880160,1270,1881430
180,1881430,27838,1909268
181,1909268,9211,1918479
182,1918479,11039,1929518
183,1929518,28152,1957670
184,1957670,1161,1958831
185,1958831,8594,1967425
186,1967425,1077,1968502
187,1968502,24013,1992515
188,1992515,21451,2013966
189,2014487,14393,2028880
190,2029544,11023,2040567
191,2040957,8941,2049898
192,2049898,1405,2051303
193,2051304,32418,2083722
D194,2084060,223,2084283
195,2084283,2845,2087128
196,2087128,5469,2092597
197,2093588,29300,2122888
198,2122888,9332,2132220
199,2132220,43689,2175909
