s12,12_Loc,12_length,12_end
1,483,6314,6797
2,6797,10467,17264
3,17264,12817,30081
4,30484,1039,31523
5,32037,9353,41390
6,41390,4144,45534
7,45534,3242,48776
8,48776,2181,50957
R570,50147,810,50957
D12,51699,1065,52764
D974,54204,401,54605
D9,55426,514,55940
14,55962,274,56236
15,56236,24250,80486
16,80486,1060,81546
17,82463,2966,85429
18,86146,25977,112123
19,112123,2627,114750
20,114750,4965,119715
21,119715,21055,140770
22,140770,5590,146360
23,146360,46229,192589
24,192589,34289,226878
25,226878,2806,229684
26,229684,51823,281507
D28,282716,7768,290484
D29,290484,1080,291564
30,292052,3966,296018
31,296018,1217,297235
32,297235,7697,304932
33,304932,1242,306174
34,306174,8215,314389
35,314389,1002,315391
36,315391,1386,316777
37,316777,9657,326434
38,326434,25087,351521
39,351525,8104,359629
40,361662,7689,369351
41,369351,3245,372596
42,372596,2280,374876
43,374876,21802,396678
44,397025,19195,416220
45,416220,31912,448132
46,448132,7419,455551
47,455551,38122,493673
48,493673,33840,527513
49,528083,14255,542338
50,542338,24343,566681
51,566681,9280,575961
52,575961,1839,577800
53,577800,14730,592530
54,593499,14210,607709
55,608480,12224,620704
IN,620701,138,620839
56,621038,45236,666274
59,666274,6867,673141
D550,673141,2944,676085
D887,676567,1890,678457
D778,678457,304,678761
60,678761,20086,698847
D61,699060,1146,700206
D62,700654,1342,701996
D63,703346,1047,704393
64,705438,17452,722890
65,722890,7762,730652
66,730983,6507,737490
67,737490,1002,738492
68,738492,7781,746273
69,746273,9844,756117
70,756117,5373,761490
71,761490,8567,770057
72,770057,1223,771280
73,771280,1864,773144
D74,773144,3391,776535
75,776535,10779,787314
76,787314,2503,789817
77,789818,1056,790874
78,790875,1655,792530
79,792530,4350,796880
80,796880,2277,799157
81,799829,8447,808276
92,808276,8359,816635
93,816635,7136,823771
D735,823771,4104,827875
95,828844,14496,843340
96,844087,3679,847766
97,848268,2557,850825
D98,850825,1604,852429
99,852429,15663,868092
100,868092,20167,888259
101,888259,13205,901464
102,901464,1585,903049
103,903049,9036,912085
104,912085,1675,913760
105,914390,14442,928832
106,928834,1144,929978
107,929979,7021,937000
108,937311,17883,955194
109,955194,2388,957582
110,957582,10977,968559
111,968559,382,968941
112,968941,2073,971014
113,971014,61,971075
114,971075,7266,978341
115,978921,1351,980272
116,980272,45830,1026102
117,1026102,3309,1029411
118,1029411,4169,1033580
119,1033580,27073,1060653
120,1060653,17014,1077667
122,1077837,8462,1086299
123,1086299,2210,1088509
124,1088994,10943,1099937
125,1099937,7966,1107903
126,1107903,13036,1120939
127,1120939,2482,1123421
R846,1123425,94,1123519
128,1123502,58269,1181771
129,1181771,21297,1203068
130,1203068,21536,1224604
136,1224604,10252,1234856
137,1234856,1716,1236572
138,1236572,9749,1246321
139,1246321,5006,1251327
140,1251329,1674,1253003
141,1253005,22796,1275801
142,1275801,1142,1276943
143,1276943,2638,1279581
144,1279582,8489,1288071
145,1288071,3078,1291149
146,1291149,12476,1303625
147,1303625,19199,1322824
148,1322825,1063,1323888
149,1323888,9455,1333343
150,1334672,5065,1339737
151,1339737,13027,1352764
152,1352764,34911,1387675
153,1387675,10212,1397887
D941,1398788,734,1399522
154,1399522,5340,1404862
155,1404862,14868,1419730
156,1419730,49815,1469545
157,1469546,3162,1472708
158,1472709,2043,1474752
159,1474947,6550,1481497
160,1481497,27535,1509032
161,1509119,1342,1510461
162,1510463,3604,1514067
163,1514067,30539,1544606
164,1544606,8066,1552672
